id,credito,enganche,precio base,monto contrato,precio venta credito,dif,BASE,VENTA
1368,1782000,0,1772000,1782000,1762000,-20000.00,1792000.00,1782000.00
970,1092620.04,206379.96,1279000,1299000,1279000,-20000.00,1299000.00,1299000.00
1263,1628922.07,148077.93,1772000,1777000,1757000,-20000.00,1792000.00,1777000.00
1274,2174590.01,518729.22,2216000,2693319.23,2673319.23,-20000.00,2236000.00,2693319.23
1211,942629,1373045.78,1750000,2315674.78,2295674.78,-20000.00,1770000.00,2315674.78
1314,0,1366000,1354000,1366000,1349000,-17000.00,1371000.00,1366000.00
1330,1366000,0,1354000,1366000,1349000,-17000.00,1371000.00,1366000.00
1360,1160550,205450,1354000,1366000,1349000,-17000.00,1371000.00,1366000.00
1384,490150,875850,1354000,1366000,1349000,-17000.00,1371000.00,1366000.00
899,1102747.31,263252.69,1354000,1366000,1349000,-17000.00,1371000.00,1366000.00
1016,535624.36,805375.64,1335000,1341000,1325000,-16000.00,1351000.00,1341000.00
1082,1090906,238094,1323000,1329000,1313000,-16000.00,1339000.00,1329000.00
1165,1282861,60139,1335000,1343000,1327000,-16000.00,1351000.00,1343000.00
1300,1287240,17760,1339000,1305000,1289000,-16000.00,1355000.00,1305000.00
1307,1121658,183342,1339000,1305000,1289000,-16000.00,1355000.00,1305000.00
1324,1326976.02,30523.98,1339000,1357500,1341500,-16000.00,1355000.00,1357500.00
1168,699000,515000,1199000,1214000,1199000,-15000.00,1214000.00,1214000.00
1189,1566097.9,1016944.8,2181000,2583042.7,2568042.7,-15000.00,2196000.00,2583042.70
1215,1395191.2,90808.8,1479000,1486000,1471000,-15000.00,1494000.00,1486000.00
991,819934.64,649065.36,1454000,1469000,1454000,-15000.00,1469000.00,1469000.00
177,1246687,226953,1461000,1473640,1461000,-12640.00,1473640.00,1473640.00
1136,1477243.41,94756.59,1568000,1572000,1560000,-12000.00,1580000.00,1572000.00
1224,2284477.65,0,2196000,2284477.65,2279477.65,-5000.00,2201000.00,2284477.65
1299,1485396,855127.35,2236000,2340523.35,2335523.35,-5000.00,2241000.00,2340523.35
1336,1645095,39905,1750000,1685000,1680000,-5000.00,1755000.00,1685000.00
1362,1214240,65760,1307000,1280000,1279000,-1000.00,1308000.00,1280000.00
1382,1202731.16,75268.84,1307000,1278000,1277000,-1000.00,1308000.00,1278000.00
63,1469120.8,239185.2,1708000,1708306,1708280,-26.00,1708026.00,1708306.00
29,951425.48,578769.52,1539000,1530195,1530195,0,1539000,1530195
33,1495331,23704,1519000,1519035,1519035,0,1519000,1519035
34,1426714,151286,1578000,1578000,1578000,0,1578000,1578000
37,1000569.8,597430.2,1598000,1598000,1598000,0,1598000,1598000
38,1453424,314576,1768000,1768000,1768000,0,1768000,1768000
40,976820,791180,1768000,1768000,1768000,0,1768000,1768000
41,0,1735000,1735000,1735000,1735000,0,1735000,1735000
39,0,1735000,1735000,1735000,1735000,0,1735000,1735000
42,0,1542000,1542000,1542000,1542000,0,1542000,1542000
43,868700,693300,1562000,1562000,1562000,0,1562000,1562000
44,0,1554000,1562000,1554000,1554000,0,1562000,1554000
45,647073.55,1165032.45,1647000,1812106,1812106,0,1647000,1812106
46,969831,507204,1485000,1477035,1477035,0,1485000,1477035
47,1380537.2,337282.8,1716000,1717820,1717820,0,1716000,1717820
49,1506106,245179,1746000,1751285,1751285,0,1746000,1751285
50,1706510.73,175343.38,1711000,1881854.11,1881854.11,0,1711000,1881854.11
51,1395396.1,294598.9,1681000,1689995,1689995,0,1681000,1689995
52,980106,42296,950000,1022402,1022402,0,950000,1022402
35,1613971.77,125668.23,1735000,1739640,1739640,0,1735000,1739640
54,1253811,363189,1617000,1617000,1617000,0,1617000,1617000
55,1532772.34,214867.66,1735000,1747640,1747640,0,1735000,1747640
56,1217587,282413,1550000,1500000,1500000,0,1550000,1500000
53,1147500,145500,1293000,1293000,1293000,0,1293000,1293000
57,935441.63,725558.37,1661000,1661000,1661000,0,1661000,1661000
58,1105920,610080,1716000,1716000,1716000,0,1716000,1716000
59,1655000,6000,1661000,1661000,1661000,0,1661000,1661000
60,0,1661000,1691000,1661000,1661000,0,1691000,1661000
61,1780501,3400,1701000,1783901,1783901,0,1701000,1783901
62,1684036.03,31963.97,1766000,1716000,1716000,0,1766000,1716000
64,1127824.76,109175.24,1237000,1237000,1237000,0,1237000,1237000
28,1677700,88300,1766000,1766000,1766000,0,1766000,1766000
65,1208783.88,157216.12,1356000,1366000,1366000,0,1356000,1366000
68,1728353.4,305646.6,2126000,2034000,2034000,0,2126000,2034000
70,1068113.19,605526.81,1661000,1673640,1673640,0,1661000,1673640
71,1777441.2,98120.8,1681000,1875562,1875562,0,1681000,1875562
72,1452209.62,46790.38,1499000,1499000,1499000,0,1499000,1499000
73,1140454.75,366545.25,1519000,1507000,1507000,0,1519000,1507000
74,1495229.88,59970.12,1539000,1555200,1555200,0,1539000,1555200
75,1294258.1,194741.9,1519000,1489000,1489000,0,1519000,1489000
69,1544354.78,185385.22,1725000,1729740,1729740,0,1725000,1729740
76,1373430,169570,1543000,1543000,1543000,0,1543000,1543000
78,1582123.89,61955.16,1585000,1644079.05,1644079.05,0,1585000,1644079.05
79,1707498,306502,2014000,2014000,2014000,0,2014000,2014000
81,1923763.1,75236.9,2014000,1999000,1999000,0,2014000,1999000
80,0,1456500,1456500,1456500,1456500,0,1456500,1456500
82,912556.03,216443.97,1129000,1129000,1129000,0,1129000,1129000
83,1473541,585459,2109000,2059000,2059000,0,2109000,2059000
84,1174773.48,122726.52,1297500,1297500,1297500,0,1297500,1297500
85,1692440,341560,2034000,2034000,2034000,0,2034000,2034000
87,988731.24,72268.76,1069000,1061000,1061000,0,1069000,1061000
88,1284250.6,13249.4,1297500,1297500,1297500,0,1297500,1297500
89,0,1109000,1109000,1109000,1109000,0,1109000,1109000
91,1027390,101610,1129000,1129000,1129000,0,1129000,1129000
92,1835222.76,158777.24,1994000,1994000,1994000,0,1994000,1994000
93,0,1164500,1129000,1164500,1164500,0,1129000,1164500
95,439415.3,1586074.7,2014000,2025490,2025490,0,2014000,2025490
94,1129000,0,1129000,1129000,1129000,0,1129000,1129000
96,1911520.86,102659.14,2014000,2014180,2014180,0,2014000,2014180
97,1126040.98,2959.02,1129000,1129000,1129000,0,1129000,1129000
99,1974713.17,40846.83,2014000,2015560,2015560,0,2014000,2015560
101,1055687,178313,1234000,1234000,1234000,0,1234000,1234000
102,890040,608960,1499000,1499000,1499000,0,1499000,1499000
103,0,1757840,1754000,1757840,1757840,0,1754000,1757840
105,1814540,179460,1994000,1994000,1994000,0,1994000,1994000
106,0,1994000,1994000,1994000,1994000,0,1994000,1994000
108,1340133,120867,1461000,1461000,1461000,0,1461000,1461000
110,575259,780741,1356000,1356000,1356000,0,1356000,1356000
66,1027440,596000,1622000,1623440,1623440,0,1622000,1623440
114,1005214.73,351425.27,1374000,1356640,1356640,0,1374000,1356640
109,1240288,13700,1250000,1253988,1253988,0,1250000,1253988
117,1056031.53,89260.47,1134000,1145292,1145292,0,1134000,1145292
120,1309050.35,31949.65,1356000,1341000,1341000,0,1356000,1341000
